id_dep,nome,deputado,partido,UF,tema_1,tema_2,tema_3,tema_4,tema_5,tema_6,tema_7,tema_8,tema_9,tema_10,tema_11,tema_12,tema_13,tema_14,tema_15,tema_16,tema_17,tema_18,tema_19,IMPEACHMENT
160561,MissionarioJoseOlimpio,Missionário José Olimpio,pp,SP,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao votou,nao,nao,sim,sim,sim,sim,sim
178859,MoemaGramacho,Moema Gramacho,pt,BA,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,nao votou,nao,nao
74457,MoroniTorgan,Moroni Torgan,dem,CE,sim,nao,nao votou,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
178997,MosesRodrigues,Moses Rodrigues,pps,CE,sim,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
160567,NelsonMarchezanJunior,Nelson Marchezan Junior,psdb,RS,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,nao,nao,nao,sim,nao,sim
73553,NelsonMarquezelli,Nelson Marquezelli,ptb,SP,sim,nao,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,sim,sim,sim
73781,NelsonMeurer,Nelson Meurer,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim
178896,NewtonCardosoJr,Newton Cardoso Jr,pmdb,MG,sim,sim,nao,sim,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim
166401,NilsonLeitao,Nilson Leitão,psdb,MT,sim,nao votou,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,nao votou,nao,sim,sim,sim,nao votou,sim
74352,NilsonPinto,Nilson Pinto,psdb,PA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,sim,nao,sim
74359,NiltonCapixaba,Nilton Capixaba,ptb,RO,sim,sim,sim,sim,sim,sim,nao votou,nao votou,sim,nao votou,nao votou,nao votou,sim,sim,nao,sim,nao,sim,sim,sim
178986,NiltoTatto,Nilto Tatto,pt,SP,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
